0,1,2,3,4,5,6,7,8,9
"('5 <= 0.00', -0.02924323879527338)","('37 <= 0.00', -0.021985789193545734)","('12 <= 0.00', 0.021424639081560764)","('75 <= 0.00', 0.019498092178156786)","('0 <= 0.00', -0.018761431940606435)","('32 <= 0.00', -0.018006301798151027)","('62 <= 0.00', 0.0172157671132488)","('10 <= 0.00', -0.016960544716101752)","('99 <= 50.50', 0.016644824279464836)","('38 <= 0.00', 0.016346691104313367)"
"('30 <= 0.00', 0.017778353902222745)","('10 <= 0.00', -0.01605958523347138)","('21 <= 0.00', 0.015983449536201042)","('63 > 0.00', -0.015452731247285523)","('15 <= 0.00', 0.015293781472734344)","('8 <= 0.00', 0.014387812193058446)","('75 > 0.00', -0.014059064591129143)","('1 <= 0.00', -0.013723216194808015)","('19 <= 0.00', 0.013676607643186397)","('13 <= 0.00', -0.012693445083050144)"
"('6 <= 0.00', -0.021958608895971947)","('19 <= 0.00', 0.021469788919395785)","('33 <= 0.00', 0.020192825854418298)","('12 <= 0.00', 0.019774621297653422)","('15 <= 0.00', -0.019192863883081106)","('97 <= 33.50', 0.01807748435796666)","('30 <= 0.00', 0.017520280379404753)","('5 <= 0.00', -0.015364412147342946)","('53 <= 0.00', 0.014200711273380186)","('2 <= 0.00', 0.01353717141114798)"
"('45 <= 0.00', 0.02489576397371454)","('33 <= 0.00', 0.02423441253642489)","('5 <= 0.00', -0.015974096526387607)","('48 <= 0.00', 0.012791259841286635)","('29 <= 0.00', 0.012612242662443169)","('49 <= 0.00', 0.012583364253090019)","('97 <= 33.50', 0.01252559074207306)","('30 <= 0.00', 0.012384035389940314)","('68 <= 0.00', -0.012263538231786853)","('14 <= 0.00', 0.0118408895670784)"
"('10 <= 0.00', 0.020404514960505604)","('18 <= 0.00', -0.020003234548300435)","('7 <= 0.00', 0.019254916719293313)","('0.00 < 91 <= 7.00', -0.017103183043034532)","('13 <= 0.00', 0.016820016369040684)","('65 <= 0.00', -0.016779084973604884)","('27 <= 0.00', -0.016450342679104356)","('70 <= 0.00', -0.016267166474265377)","('40 <= 0.00', -0.016118212635445175)","('57 <= 0.00', -0.014602998975389702)"
"('5 <= 0.00', -0.021866314568444803)","('34 <= 0.00', -0.019506136487082586)","('33 <= 0.00', -0.01818019252394122)","('22 <= 0.00', 0.016775392438174976)","('29 <= 0.00', 0.014226834937185852)","('13 <= 0.00', -0.01382875541748513)","('58 <= 0.00', 0.013363430228222067)","('6 <= 0.00', 0.012255736378349336)","('23 <= 0.00', 0.012170504253509693)","('97 <= 33.50', 0.011760515658128171)"
"('24 <= 0.00', 0.015826396098249474)","('0 <= 0.00', -0.01554492600483466)","('63 <= 0.00', -0.014565210910549867)","('33 <= 0.00', -0.01363179014948359)","('7 <= 0.00', 0.013219166524286109)","('0.00 < 94 <= 46.50', 0.01283712686020994)","('52 <= 0.00', 0.012563896599094909)","('2 <= 0.00', 0.012521939321829125)","('65 <= 0.00', 0.011896683842952022)","('27 <= 0.00', 0.011428467102427892)"
"('7 <= 0.00', 0.022284290243474884)","('40 <= 0.00', -0.018307911017977616)","('13 <= 0.00', 0.017593216987878597)","('56 <= 0.00', 0.01741520622315888)","('49 <= 0.00', 0.015842799371150563)","('45 <= 0.00', 0.014287183179049496)","('67 <= 0.00', 0.012379485185535794)","('18 <= 0.00', -0.011777744990259398)","('70 <= 0.00', -0.010921719198980915)","('10 <= 0.00', -0.010889799902081124)"
"('25 <= 0.00', 0.02922656734471859)","('30 <= 0.00', 0.019250694411270565)","('38 <= 0.00', -0.018597338082008162)","('20 <= 0.00', 0.017311608190618548)","('41 <= 0.00', -0.01655483986638376)","('56 <= 0.00', -0.016175529979111352)","('15 <= 0.00', 0.014125275146324143)","('52 <= 0.00', -0.012968041072018283)","('10 <= 0.00', 0.011930262480762127)","('94 > 261.75', -0.0115165823244488)"
"('51 <= 0.00', -0.02545893154341977)","('21 <= 0.00', 0.024022565064918303)","('5 <= 0.00', 0.023021419402125282)","('2 <= 0.00', 0.02109555451276931)","('6 <= 0.00', -0.018779376862102536)","('10 <= 0.00', 0.01659370430129398)","('31 <= 0.00', 0.01562954927349387)","('15 <= 0.00', 0.015297190616864168)","('16 <= 0.00', -0.014763068753768508)","('30 <= 0.00', -0.013621298258576177)"
"('59 <= 0.00', -0.02246516819259817)","('75 <= 0.00', -0.02047568171767483)","('5 <= 0.00', 0.02035002056672205)","('24 <= 0.00', 0.020172652381917063)","('19 <= 0.00', 0.020091178985709286)","('15 <= 0.00', 0.019028974446539004)","('28 <= 0.00', -0.018573724935212796)","('40 <= 0.00', -0.01846422294806722)","('56 <= 0.00', 0.017295696920363847)","('8 <= 0.00', 0.0160560875701014)"
"('8 <= 0.00', -0.032912252249519734)","('2 <= 0.00', 0.021777171020715563)","('10 <= 0.00', 0.02154324299785655)","('49 <= 0.00', 0.01922621023290018)","('35 <= 0.00', -0.018218888661468573)","('25 <= 0.00', -0.017576638398120775)","('64 <= 0.00', -0.017393037088299108)","('39 <= 0.00', 0.0165671535492047)","('34 <= 0.00', -0.015320484346448882)","('99 <= 50.50', 0.01479406363891221)"
"('2 <= 0.00', 0.027505461901083723)","('48 <= 0.00', 0.020468098831340837)","('0.00 < 94 <= 46.50', 0.018984006768253153)","('42 <= 0.00', 0.01886709340897333)","('44 <= 0.00', 0.01590418643718034)","('12 <= 0.00', 0.01516743757475335)","('97 <= 33.50', 0.015133093065303613)","('15 <= 0.00', -0.01479431857617145)","('0 <= 0.00', -0.012982544225501417)","('40 <= 0.00', -0.010872750494704347)"
"('40 <= 0.00', -0.023626398106627176)","('11 <= 0.00', -0.020876776238328024)","('1 <= 0.00', 0.01913147891210834)","('61 <= 0.00', -0.016439560628543192)","('28 <= 0.00', -0.016409423559020534)","('4.75 < 95 <= 80.50', 0.014534176060246942)","('33 <= 0.00', 0.01424510047100624)","('25 <= 0.00', -0.014173010274261606)","('13 <= 0.00', -0.013790205603753353)","('56 <= 0.00', -0.011739290722364317)"
"('29 <= 0.00', -0.019496861880360483)","('3 <= 0.00', -0.019303259193143556)","('25 <= 0.00', -0.019019670364846687)","('0 <= 0.00', -0.018846640157316474)","('10 <= 0.00', 0.01882750834337262)","('12 <= 0.00', 0.01853051063050826)","('34 <= 0.00', 0.01833746546861453)","('38 <= 0.00', -0.0177621468632008)","('43 <= 0.00', 0.01711699564628742)","('2 <= 0.00', 0.013985759857763857)"
"('2 <= 0.00', -0.02576142421925835)","('18 <= 0.00', -0.025661456494766414)","('34 <= 0.00', 0.021398833571652426)","('60 <= 0.00', -0.01864962092146604)","('46 <= 0.00', -0.01861704638106799)","('44 <= 0.00', 0.016892166731861405)","('33 <= 0.00', 0.01674100986037788)","('57 <= 0.00', -0.015767102708671692)","('14 <= 0.00', -0.013493592494781785)","('43 <= 0.00', 0.012506971157498903)"
"('19 <= 0.00', -0.023744653020935393)","('40 <= 0.00', -0.02160746062134515)","('54 <= 0.00', -0.018093176994150723)","('15 <= 0.00', -0.018070644960854722)","('2 <= 0.00', 0.018050646440713053)","('12 <= 0.00', -0.016197755925732884)","('25 <= 0.00', -0.015828553181714142)","('36 <= 0.00', 0.015711475509560334)","('39 <= 0.00', 0.01456207573042649)","('23 <= 0.00', -0.013230248467010606)"
"('5 <= 0.00', -0.027909080241142185)","('52 <= 0.00', 0.02092454806243557)","('27 <= 0.00', 0.019798992024173567)","('33 <= 0.00', 0.01851939177659139)","('25 <= 0.00', -0.017989932860022605)","('19 <= 0.00', -0.01644773668295729)","('15 <= 0.00', -0.01619678252940583)","('36 <= 0.00', -0.015980475115620698)","('35 <= 0.00', -0.015598258075248141)","('39 <= 0.00', 0.011299248200512958)"
"('3 <= 0.00', -0.027387344468577716)","('11 <= 0.00', 0.02303440158566074)","('8 <= 0.00', -0.02160699081353007)","('38 <= 0.00', -0.019673210306358574)","('24 <= 0.00', 0.016119013051653124)","('48 <= 0.00', -0.015426703542967912)","('14 <= 0.00', -0.01516258632592371)","('42 <= 0.00', -0.01430091510077637)","('34 <= 0.00', -0.013311817498797339)","('43 <= 0.00', -0.013147464373063616)"
"('52 <= 0.00', -0.021069810711638458)","('12 <= 0.00', 0.020777848665585436)","('59 <= 0.00', -0.019997899340658355)","('22 <= 0.00', 0.019580364171373096)","('6 <= 0.00', -0.01914772592913262)","('46 <= 0.00', -0.01752223654034914)","('30 <= 0.00', 0.01631549005233541)","('5 <= 0.00', -0.015353935685503943)","('31 <= 0.00', 0.013051576342309976)","('64 <= 0.00', -0.012016636037310001)"
"('17 <= 0.00', 0.026766161550024065)","('2 <= 0.00', 0.01888879606046175)","('14 <= 0.00', 0.017490775389836084)","('27 <= 0.00', 0.01732585735729616)","('8 <= 0.00', -0.016489514213583727)","('45 <= 0.00', 0.016101952247703277)","('26 <= 0.00', 0.01456582995210967)","('7 <= 0.00', -0.014085052369025962)","('10 <= 0.00', 0.013271691009706082)","('25 <= 0.00', -0.012448959989768303)"
"('30 <= 0.00', 0.023098852192468867)","('18 <= 0.00', -0.022825020112756337)","('27 <= 0.00', -0.02053545653630922)","('0 <= 0.00', 0.020395717840488974)","('4 <= 0.00', -0.01995710382758165)","('24 <= 0.00', -0.01989746803350512)","('64 <= 0.00', -0.018119596653436928)","('11 <= 0.00', 0.018056443988170193)","('2 <= 0.00', 0.016785507925757524)","('49 <= 0.00', 0.015488110333091434)"
"('1 <= 0.00', 0.02267420011965609)","('21 <= 0.00', 0.021214322863844712)","('7 <= 0.00', -0.020113789159643576)","('2 <= 0.00', -0.0193121182110131)","('11 <= 0.00', -0.01901125235460811)","('52 <= 0.00', 0.018379850036465008)","('53 <= 0.00', 0.016955621489614242)","('37 <= 0.00', 0.016720708173544294)","('68 <= 0.00', 0.016082276863076592)","('33 <= 0.00', 0.012479106156051679)"
"('12 <= 0.00', 0.03300361423785804)","('8 <= 0.00', 0.02547725250045276)","('31 <= 0.00', 0.0232027853051418)","('30 <= 0.00', 0.01914000148284227)","('17 <= 0.00', 0.017647288499578286)","('25 <= 0.00', 0.016521445886465737)","('37 <= 0.00', 0.015024889410955472)","('57 <= 0.00', -0.014853940569027032)","('13 <= 0.00', -0.014727477034125204)","('29 <= 0.00', 0.013667556873222974)"
"('21 <= 0.00', 0.028675320376826907)","('18 <= 0.00', -0.024975709060440447)","('5 <= 0.00', -0.02463766741190777)","('56 <= 0.00', 0.021200537915863255)","('30 <= 0.00', -0.021051451842573544)","('46 <= 0.00', 0.019922840438793308)","('49 <= 0.00', -0.01966933408462295)","('58 <= 0.00', 0.018394794111186743)","('22 <= 0.00', 0.015123669782288225)","('64 <= 0.00', -0.01475187924871338)"
"('5 <= 0.00', -0.022156601444147214)","('29 <= 0.00', 0.020647845620532075)","('6 <= 0.00', 0.019985724970975022)","('11 <= 0.00', 0.019657285333630304)","('3 <= 0.00', -0.019212047088496033)","('28 <= 0.00', 0.018968171184768623)","('7 <= 0.00', 0.018209500188858127)","('12 <= 0.00', -0.01781762305663827)","('0.00 < 87 <= 37.25', 0.017620098162723884)","('39 <= 0.00', 0.01732330249721821)"
"('8 <= 0.00', 0.019747025981013522)","('13 <= 0.00', 0.018487849204980273)","('4 <= 0.00', 0.01781878029624342)","('0.00 < 94 <= 46.50', 0.016157292445306757)","('40 <= 0.00', -0.016131008044652766)","('18 <= 0.00', 0.016018506130466133)","('11 <= 0.00', -0.014903465569569967)","('51 <= 0.00', -0.014655346342694267)","('22 <= 0.00', 0.013503346795046282)","('9 <= 0.00', 0.012453149828534545)"
"('0 <= 0.00', -0.02710029688549093)","('24 <= 0.00', 0.021521931682318942)","('8 <= 0.00', -0.01969518415543573)","('20 <= 0.00', -0.0175699609113421)","('16 <= 0.00', 0.01733249377508568)","('18 <= 0.00', -0.017330698923742796)","('49 <= 0.00', 0.01599984394725824)","('37 <= 0.00', -0.014007395496347063)","('23 <= 0.00', 0.013817755003828338)","('2 <= 0.00', 0.0134627655630533)"
"('48 <= 0.00', 0.024881338881312467)","('24 <= 0.00', 0.024609931112410444)","('15 <= 0.00', 0.023474029042999563)","('69 <= 0.00', 0.020647858185289268)","('2 <= 0.00', -0.02045380292077478)","('42 <= 0.00', -0.017859768555068555)","('12 <= 0.00', -0.01634922771710404)","('68 <= 0.00', 0.015408255052622437)","('19 <= 0.00', -0.01314617214432179)","('4 <= 0.00', 0.011425133509757284)"
"('0 <= 0.00', -0.02809847774074032)","('39 <= 0.00', 0.022228049239479672)","('15 <= 0.00', -0.020153282299965155)","('4 <= 0.00', 0.018675639723755418)","('17 <= 0.00', 0.017732903881418682)","('21 <= 0.00', 0.0173613315322462)","('43 <= 0.00', 0.017025449798950515)","('26 <= 0.00', 0.016933656261656407)","('19 <= 0.00', 0.016549509252516147)","('1 <= 0.00', -0.016204989007302304)"
"('20 <= 0.00', 0.019154191025282694)","('21 <= 0.00', -0.017917368634771665)","('22 <= 0.00', 0.017112426510194397)","('13 <= 0.00', -0.017099625912544804)","('52 <= 0.00', -0.016331546000897815)","('30 <= 0.00', 0.015989607513794538)","('11 <= 0.00', 0.015788263791915128)","('43 <= 0.00', -0.013784726499359088)","('0 <= 0.00', 0.011738495408382765)","('48 <= 0.00', 0.01135226938970863)"
"('42 <= 0.00', 0.026689114772834057)","('15 <= 0.00', -0.02275402529209466)","('22 <= 0.00', 0.02212828332586667)","('7 <= 0.00', -0.02156803965469333)","('32 <= 0.00', 0.018316616579407516)","('71 <= 0.00', 0.01824847485394041)","('10 <= 0.00', 0.01683701512971952)","('40 <= 0.00', 0.015974612850707923)","('60 <= 0.00', 0.01422186760449234)","('1 <= 0.00', 0.013688588381164648)"
"('56 <= 0.00', 0.023352220880394244)","('33 <= 0.00', -0.020792432015180436)","('0.00 < 87 <= 37.25', 0.019522716102160394)","('10 <= 0.00', 0.018978707466711937)","('0.00 < 93 <= 16.00', 0.017394294045087893)","('28 <= 0.00', -0.016970634162892906)","('36 <= 0.00', 0.0168370523266424)","('13 <= 0.00', -0.015323733803006613)","('23 <= 0.00', -0.014997176246585841)","('34 <= 0.00', -0.013794095227408435)"
"('29 <= 0.00', 0.02225221236386987)","('3 <= 0.00', -0.018499606970541545)","('21 <= 0.00', -0.01730790575542205)","('23 <= 0.00', 0.01569207637158667)","('14 <= 0.00', 0.013862739777706063)","('36 <= 0.00', 0.013620531595504089)","('17 <= 0.00', 0.01354015453843538)","('7 <= 0.00', 0.012983184539146812)","('45 <= 0.00', -0.012791913610221594)","('28 <= 0.00', 0.012766336530019563)"
"('1 <= 0.00', -0.031444372754553196)","('43 <= 0.00', 0.01899758176461048)","('13 <= 0.00', 0.017420883517227623)","('39 <= 0.00', 0.017166993617801957)","('12 <= 0.00', 0.016044866688671423)","('2 <= 0.00', 0.015755878556342664)","('0 <= 0.00', 0.015717133576203517)","('23 <= 0.00', 0.015407240158988315)","('37 <= 0.00', 0.014729943356129383)","('41 <= 0.00', 0.013472506040899692)"
"('40 <= 0.00', -0.038684160399474435)","('34 <= 0.00', 0.023621046974553694)","('4 <= 0.00', 0.02352051028651801)","('10 <= 0.00', -0.021795443706139662)","('9 <= 0.00', -0.020812053965782996)","('42 <= 0.00', -0.01916323636309009)","('1 <= 0.00', 0.018448691324887075)","('23 <= 0.00', -0.018431731610087588)","('22 <= 0.00', 0.017128111868416975)","('12 <= 0.00', -0.016527237349232244)"
"('19 <= 0.00', -0.02227551728381681)","('28 <= 0.00', -0.021234998551638375)","('31 <= 0.00', 0.020081842445250825)","('32 <= 0.00', 0.017584109030993673)","('1 <= 0.00', 0.016176141140128747)","('97 <= 33.50', 0.01583278179920407)","('6 <= 0.00', 0.015370777276051746)","('30 <= 0.00', -0.015036495549802933)","('38 <= 0.00', -0.014403221180307724)","('67 <= 0.00', 0.014167243930012603)"
"('1 <= 0.00', -0.022932136751649936)","('31 <= 0.00', 0.02292320081834849)","('4 <= 0.00', -0.02141370978605107)","('12 <= 0.00', 0.019285045321741096)","('10 <= 0.00', -0.019177660187529685)","('52 <= 0.00', -0.017984149813760175)","('17 <= 0.00', 0.017921522773525368)","('36 <= 0.00', 0.017297495576307158)","('5 <= 0.00', 0.016149616427341182)","('45 <= 0.00', 0.014950884167348933)"
"('41 <= 0.00', 0.02947056848401353)","('9 <= 0.00', -0.023276775680875904)","('56 <= 0.00', 0.020118601743049812)","('74 <= 0.00', 0.01877550061508039)","('61 <= 0.00', 0.017289333955711632)","('8 <= 0.00', 0.016438364382364557)","('11 <= 0.00', -0.015765795447483848)","('43 <= 0.00', -0.015715263350715578)","('17 <= 0.00', 0.015558704231268958)","('95 <= 4.75', -0.013731701919599958)"
"('6 <= 0.00', -0.018853230715622515)","('39 <= 0.00', -0.015170161656743678)","('40 <= 0.00', -0.01485551706394048)","('41 <= 0.00', 0.014821916752063805)","('31 <= 0.00', 0.012509080978453827)","('70 > 0.00', 0.01228707548134023)","('18 <= 0.00', 0.01228214016617765)","('38 <= 0.00', -0.01193167099448363)","('49 <= 0.00', 0.011569699496381411)","('20 <= 0.00', 0.01076221750582579)"
