0,1,2,3,4,5,6,7,8,9
"('56 <= 0.00', 0.023848981144634903)","('10 <= 0.00', 0.022081072437177374)","('43 <= 0.00', 0.022004807578094115)","('42 <= 0.00', 0.021205574201457387)","('34 <= 0.00', -0.019994875756945075)","('40 <= 0.00', -0.019698850123790048)","('0 <= 0.00', 0.018308713270853306)","('8 <= 0.00', 0.0180244128425765)","('30 <= 0.00', 0.0168109800606154)","('41 <= 0.00', -0.016695840151687083)"
"('12 <= 0.00', 0.026023318536491886)","('55 <= 0.00', 0.019414609885062342)","('7 <= 0.00', -0.018052795852756882)","('59 <= 0.00', 0.017405561380431867)","('33 <= 0.00', 0.01617038623167474)","('17 <= 0.00', 0.015437842106745486)","('9 <= 0.00', 0.014027402040869106)","('18 <= 0.00', 0.01396021582639133)","('71 <= 0.00', 0.013649565830173618)","('31 <= 0.00', 0.012098368787650637)"
"('9 <= 0.00', 0.017475787237736976)","('3 <= 0.00', 0.0166776083341493)","('6 <= 0.00', 0.016197349439775445)","('32 <= 0.00', 0.01590066776446174)","('45 <= 0.00', 0.015420987757777001)","('20 <= 0.00', -0.014919445424744866)","('99 <= 50.50', 0.01483772091191393)","('18 <= 0.00', -0.014649145999369229)","('13 <= 0.00', 0.01431907715887448)","('31 <= 0.00', 0.013870807626940115)"
"('5 <= 0.00', -0.027731089120630992)","('57 <= 0.00', -0.022372357340039825)","('8 <= 0.00', 0.02014129947676892)","('17 <= 0.00', -0.019120403067798754)","('23 <= 0.00', -0.018423642044613265)","('42 <= 0.00', 0.015037185453260238)","('10 <= 0.00', 0.01481186611030409)","('34 <= 0.00', 0.013716767868328908)","('184.50 < 98 <= 833.75', -0.013528876235845344)","('60 <= 0.00', 0.012443364205441627)"
"('6 <= 0.00', -0.042637860567404304)","('41 <= 0.00', -0.029893873331103746)","('35 <= 0.00', -0.02528674719415032)","('99 <= 50.50', 0.01969345406076415)","('15 <= 0.00', -0.018510701683921552)","('19 <= 0.00', -0.018086168175061673)","('22 <= 0.00', -0.01780085145021875)","('16 <= 0.00', -0.016098408755844857)","('11 <= 0.00', 0.015321025102295707)","('10 <= 0.00', 0.01439019991537926)"
"('22 <= 0.00', 0.02271408635428729)","('18 <= 0.00', -0.02008706288606679)","('31 <= 0.00', 0.0193126561830093)","('21 <= 0.00', 0.018851300289427945)","('19 <= 0.00', 0.018848260482390092)","('12 <= 0.00', -0.018822988384188333)","('39 <= 0.00', 0.017651470183684258)","('47 <= 0.00', 0.01605028546643562)","('49 <= 0.00', 0.016001638796944936)","('36 <= 0.00', 0.014136729504984936)"
"('12 <= 0.00', -0.021251818860188558)","('8 <= 0.00', 0.019800137527636836)","('30 <= 0.00', -0.01853619368263522)","('6 <= 0.00', 0.01677695692943326)","('0.00 < 89 <= 80.75', 0.014527364874179717)","('2 <= 0.00', -0.014030039874506996)","('42 <= 0.00', 0.01353503043788408)","('46 <= 0.00', -0.012922078822157308)","('45 <= 0.00', 0.012751763212808197)","('14 <= 0.00', 0.011637854999920426)"
"('51 <= 0.00', -0.028518392521548103)","('1 <= 0.00', 0.024473577870413023)","('22 <= 0.00', -0.022829144381735705)","('23 <= 0.00', -0.022536207827206722)","('7 <= 0.00', -0.01931981147172937)","('41 <= 0.00', 0.017899784081876445)","('15 <= 0.00', 0.017304898547693768)","('3 <= 0.00', -0.016709276081242806)","('39 <= 0.00', 0.014845782200629314)","('49 <= 0.00', 0.014141131650180468)"
"('2 <= 0.00', 0.02172014284873108)","('33 <= 0.00', -0.019824795759781143)","('18 <= 0.00', -0.016013221241421467)","('36 <= 0.00', 0.01576949211486441)","('3 <= 0.00', -0.015504952399449979)","('38 <= 0.00', -0.01548599192011537)","('17 <= 0.00', 0.015139051701865197)","('53 <= 0.00', 0.014618043019742653)","('11 <= 0.00', 0.01336137538664435)","('9 <= 0.00', 0.012553103342077473)"
"('1 <= 0.00', -0.03438387999846319)","('12 <= 0.00', -0.028362521519990476)","('7 <= 0.00', -0.024358375654946134)","('10 <= 0.00', -0.022802207258141007)","('6 <= 0.00', 0.021696202462033888)","('23 <= 0.00', -0.0191501101415273)","('61 <= 0.00', -0.017549104287826824)","('13 <= 0.00', -0.016143600992066645)","('14 <= 0.00', 0.015517830708536868)","('33 <= 0.00', -0.014790422477521865)"
"('26 <= 0.00', 0.022723876139209353)","('45 <= 0.00', -0.021436543633722625)","('0.00 < 93 <= 16.00', 0.020484436625748444)","('55 <= 0.00', -0.019218283469566954)","('38 <= 0.00', 0.018550847756657655)","('8 <= 0.00', 0.017580696555986992)","('4 <= 0.00', -0.01578568287890777)","('27 <= 0.00', 0.013910437530736553)","('20 <= 0.00', -0.012682050799307298)","('33 <= 0.00', -0.012309425710758031)"
"('5 <= 0.00', -0.049592005270325895)","('4 <= 0.00', -0.03684612797213611)","('10 <= 0.00', 0.029042074696421474)","('56 <= 0.00', 0.021499665245152014)","('6 <= 0.00', 0.01759118975463997)","('48 <= 0.00', 0.01689722183388312)","('21 <= 0.00', -0.01669242488195743)","('43 <= 0.00', 0.015068025019858346)","('60 <= 0.00', 0.013920793654311373)","('50 <= 0.00', 0.013601996472473288)"
"('2 <= 0.00', -0.03590976098176952)","('21 <= 0.00', 0.01964410392435629)","('40 <= 0.00', -0.018848155240538778)","('28 <= 0.00', 0.01857803871683672)","('29 <= 0.00', -0.017214455574381875)","('49 <= 0.00', 0.015998071948514297)","('38 <= 0.00', 0.015558767623633122)","('50 <= 0.00', 0.015250378945543555)","('26 <= 0.00', -0.015210676814753748)","('1 <= 0.00', 0.01481372589418316)"
"('17 > 0.00', 0.019759756100407675)","('0 <= 0.00', 0.019752136161343862)","('22 > 0.00', -0.016776816873812526)","('27 > 0.00', 0.016148678330477652)","('44 > 0.00', 0.01551907444178462)","('13 <= 0.00', -0.014371197653914902)","('45 > 0.00', -0.014042342653342286)","('4 <= 0.00', 0.0126885181970273)","('12 <= 0.00', -0.012433911643726479)","('11 <= 0.00', -0.01170828843826326)"
"('35 <= 0.00', 0.020433212023718922)","('15 <= 0.00', -0.019411741728582954)","('46 <= 0.00', 0.016965811331320073)","('26 <= 0.00', -0.01623805944982639)","('4.75 < 95 <= 80.50', 0.01567009095004699)","('1 <= 0.00', 0.0146820171781447)","('51 <= 0.00', -0.014166551386997859)","('34 <= 0.00', 0.013512117361217093)","('33 <= 0.00', -0.013226325263894754)","('57 <= 0.00', -0.01297034544149864)"
"('62 <= 0.00', 0.025425006730106055)","('2 <= 0.00', 0.022600059601222897)","('0.00 < 94 <= 46.50', 0.021451633595531292)","('21 <= 0.00', 0.02065029078047687)","('7 <= 0.00', 0.0192021232601922)","('28 <= 0.00', -0.018627239816317538)","('12 <= 0.00', 0.016406344092452233)","('13 <= 0.00', 0.015875070376652957)","('46 <= 0.00', -0.014782351920525579)","('14 <= 0.00', 0.010495335933376222)"
"('4 <= 0.00', -0.024441908436293493)","('28 <= 0.00', -0.02072526519126251)","('18 <= 0.00', -0.017066732921071227)","('41 <= 0.00', -0.016755651768201568)","('27 <= 0.00', -0.016703030277839103)","('22 <= 0.00', -0.015656475045721145)","('45 <= 0.00', 0.015446800318870108)","('24 <= 0.00', 0.01327144709809167)","('9 <= 0.00', 0.010980214185271838)","('30 <= 0.00', 0.010191705064755198)"
"('21 <= 0.00', -0.020765278282261528)","('12 <= 0.00', 0.0207105107205544)","('13 <= 0.00', 0.017562442137920752)","('8 <= 0.00', 0.016782642018953527)","('29 <= 0.00', -0.015683413743412703)","('99 <= 50.50', 0.01464233039119439)","('5 <= 0.00', -0.013589824734223589)","('18 <= 0.00', -0.01348189634717567)","('10 <= 0.00', -0.013021551055494216)","('31 <= 0.00', 0.012368056980599722)"
"('5 <= 0.00', -0.026671841181138942)","('6 <= 0.00', 0.026486043054746857)","('0 <= 0.00', 0.024864249751863625)","('35 <= 0.00', -0.016204252301684444)","('8 <= 0.00', 0.01584759165872668)","('52 <= 0.00', 0.015626064122618424)","('39 <= 0.00', 0.01505915283555219)","('34 <= 0.00', -0.014373843697863108)","('2 <= 0.00', -0.013384119368861294)","('16 <= 0.00', 0.012508680876072872)"
"('1 <= 0.00', -0.028562022425197044)","('41 <= 0.00', -0.018646004551319144)","('62 <= 0.00', -0.01848460788507963)","('63 <= 0.00', -0.018189690347498507)","('26 <= 0.00', -0.017011399436322468)","('46 <= 0.00', 0.015847570669841486)","('40 <= 0.00', -0.015308101886125558)","('19 <= 0.00', 0.015132852564671503)","('23 <= 0.00', 0.013767615439530218)","('9 <= 0.00', 0.01334350132135453)"
"('9 <= 0.00', 0.02403358186471329)","('11 <= 0.00', 0.020736654401840925)","('41 <= 0.00', 0.02032938823499958)","('63 <= 0.00', 0.017728999791102942)","('0.00 < 87 <= 37.25', 0.017529133377822748)","('44 <= 0.00', 0.016524084315772833)","('97 <= 33.50', 0.014507336558890287)","('48 <= 0.00', 0.014072616606509082)","('43 <= 0.00', 0.013670982939666917)","('1 <= 0.00', -0.013354376036703582)"
"('3 <= 0.00', 0.029092016208449933)","('51 <= 0.00', 0.019774652003709432)","('10 <= 0.00', 0.01857801851409116)","('8 <= 0.00', -0.018032370829070995)","('23 <= 0.00', 0.01663295780243965)","('7 <= 0.00', 0.015925688520377675)","('30 <= 0.00', 0.015521896327333223)","('22 <= 0.00', 0.014985044253921219)","('31 <= 0.00', 0.014272105594563073)","('20 <= 0.00', 0.0138256947482479)"
"('33 <= 0.00', 0.02629318502292487)","('47 <= 0.00', 0.025036394389461473)","('30 <= 0.00', 0.024060736051071306)","('2 <= 0.00', 0.023218093486635803)","('8 <= 0.00', 0.01969544349796471)","('27 <= 0.00', 0.017078604832349385)","('12 <= 0.00', -0.017044651874140993)","('5 <= 0.00', 0.016452338947387644)","('22 <= 0.00', 0.01605000039478917)","('25 <= 0.00', 0.015165345710874216)"
"('2 <= 0.00', -0.024710771163440684)","('9 <= 0.00', -0.022158353626413586)","('53 <= 0.00', -0.021817413550003602)","('20 <= 0.00', 0.021243402521072)","('10 <= 0.00', 0.020187560210382018)","('62 <= 0.00', 0.017895011877018627)","('1 <= 0.00', -0.017595741330434296)","('3 <= 0.00', 0.016858187305405593)","('32 <= 0.00', 0.016644875787277684)","('37 <= 0.00', 0.015945693379498325)"
"('6 <= 0.00', 0.03301017140173429)","('40 <= 0.00', -0.026270097531319578)","('47 <= 0.00', -0.01984442316845247)","('18 <= 0.00', -0.01893962435691772)","('69 <= 0.00', 0.01729514979737887)","('8 <= 0.00', 0.017057762245660947)","('51 <= 0.00', 0.016883981334273906)","('27 <= 0.00', -0.014648347021017204)","('25 <= 0.00', -0.014606121901244292)","('11 <= 0.00', -0.014011467476476589)"
